Date,Algae,Species,SampleiD,Depth,Temperature,Light,Respiration,netPhotosynthesis,grossPhotosynthesis,PR_ratio
NA,brown,Cystoseira,6,20,21,high,-0.001941029,0.00209279,0.004033819,1.078185832
NA,red,Phyllophora,1,20,21,high,-0.001598542,0.004448459,0.006047002,2.782822426
NA,red,Phyllophora,2,20,21,high,-0.001984202,0.005636879,0.007621081,2.840879073
NA,red,Phyllophora,3,20,21,high,-0.002449289,0.006988064,0.009437353,2.853099021
NA,red,Phyllophora,4,20,21,high,-0.001511454,0.005273721,0.006785175,3.489169677
NA,red,Phyllophora,5,20,21,high,-0.002161867,0.004890894,0.007052761,2.262347845
NA,red,Phyllophora,6,20,21,high,-0.001419781,0.002718798,0.004138578,1.91494216
NA,brown,Cystoseira,1,20,26,high,-0.003620521,0.000858103,0.004478623,0.237010856
NA,brown,Cystoseira,2,20,26,high,-0.003234816,0.000415415,0.003650231,0.128419838
NA,brown,Cystoseira,3,20,26,high,-0.004246357,-0.000279997,0.00396636,-0.065938148
NA,brown,Cystoseira,4,20,26,high,-0.004348017,0.000703628,0.005051644,0.161827253
NA,brown,Cystoseira,5,20,26,high,-0.00419249,0.000416591,0.004609082,0.099366065
NA,brown,Cystoseira,6,20,26,high,-0.003782256,0.000518521,0.004300777,0.137092985
NA,red,Phyllophora,1,20,26,high,-0.003977938,0.007679664,0.011657602,1.930564221
NA,red,Phyllophora,2,20,26,high,-0.002583023,0.006130898,0.008713921,2.373535563
NA,red,Phyllophora,3,20,26,high,-0.003786302,0.005582835,0.009369137,1.474482436
NA,red,Phyllophora,4,20,26,high,-0.004052861,0.008730499,0.01278336,2.154156811
NA,red,Phyllophora,5,20,26,high,-0.003382014,0.005144604,0.008526618,1.521165819
NA,red,Phyllophora,6,20,26,high,-0.00320478,0.006241284,0.009446063,1.947492345
NA,brown,Cystoseira,1,20,30,high,-0.003222082,0.003427132,0.006649214,1.06363906
NA,brown,Cystoseira,2,20,30,high,-0.003186522,0.004767049,0.00795357,1.496003791
NA,brown,Cystoseira,3,20,30,high,-0.005053024,-0.001806219,0.003246805,-0.357453171
NA,brown,Cystoseira,4,20,30,high,-0.003672628,-0.000325537,0.003347091,-0.088638584
NA,brown,Cystoseira,5,20,30,high,-0.004096549,0.000187715,0.004284263,0.045822599
NA,brown,Cystoseira,6,20,30,high,-0.003113646,-0.000665121,0.002448525,-0.213614868
NA,red,Phyllophora,1,20,30,high,-0.002155154,0.006748412,0.008903566,3.131289869
NA,red,Phyllophora,2,20,30,high,-0.002906207,0.007686696,0.010592904,2.644923691
NA,red,Phyllophora,3,20,30,high,-0.00337317,0.007929864,0.011303033,2.350864215
NA,red,Phyllophora,4,20,30,high,-0.003255161,0.009135365,0.012390526,2.806424754
NA,red,Phyllophora,5,20,30,high,-0.002552748,0.008404523,0.01095727,3.292343565
NA,red,Phyllophora,6,20,30,high,-0.003639545,0.006399315,0.01003886,1.758273223
22/09/2021,brown,Cystoseira,1,30,21,control,-0.002193401,0.005102887,0.007296288,2.326472708
22/09/2021,brown,Cystoseira,2,30,21,control,-0.00187529,0.007310408,0.009185697,3.898282112
22/09/2021,brown,Cystoseira,3,30,21,control,-0.003329871,0.006640317,0.009970188,1.994166279
22/09/2021,brown,Cystoseira,4,30,21,control,-0.002373826,0.006431623,0.008805448,2.709391296
22/09/2021,brown,Cystoseira,5,30,21,control,-0.002112178,0.006334277,0.008446454,2.998931458
22/09/2021,red,Phyllophora,1,30,21,control,-0.001816705,0.004796613,0.006613317,2.640282201
22/09/2021,red,Phyllophora,2,30,21,control,-0.001328727,0.003292967,0.004621694,2.478287025
22/09/2021,red,Phyllophora,3,30,21,control,-0.001959026,0.004623709,0.006582736,2.360207655
22/09/2021,red,Phyllophora,4,30,21,control,-0.001989698,0.004009998,0.005999695,2.015380595
22/09/2021,red,Phyllophora,5,30,21,control,-0.001969465,0.003639374,0.005608839,1.847899197
23/09/2021,brown,Cystoseira,1,10,21,control,-0.002277966,0.008337951,0.010615916,3.660261646
23/09/2021,brown,Cystoseira,2,10,21,control,-0.001766646,0.007136902,0.008903548,4.039803577
23/09/2021,brown,Cystoseira,3,10,21,control,-0.002378383,0.009819779,0.012198162,4.128763053
23/09/2021,brown,Cystoseira,4,10,21,control,-0.00179216,0.007255911,0.009048071,4.048694714
23/09/2021,brown,Cystoseira,5,10,21,control,-0.001669316,0.006950001,0.008619317,4.163383287
